GCUId	Chn	Mean_Ping_HG	Mean_Pong_HG	RMS_Ping_HG	RMS_Pong_HG	Mean_Ping_LG	Mean_Pong_LG	RMS_Ping_LG	RMS_Pong_LG	Length	x	y	z
8177	61	69.0125	63.6552	2.80896	2.79503	0	0	0	0	0	0	0	0
8177	62	69.7094	72.0077	2.67663	2.70759	0	0	0	0	0	0	0	0
8177	63	72.6032	67.8212	2.75935	2.73483	0	0	0	0	0	0	0	0
8177	64	84.6541	86.9648	2.15962	2.13867	0	0	0	0	0	0	0	0
8177	65	86.1872	82.1507	2.15001	2.19033	0	0	0	0	0	0	0	0
8177	66	84.596	83.7502	2.71296	2.70373	0	0	0	0	0	0	0	0
8177	67	86.3727	84.1349	2.18014	2.19912	0	0	0	0	0	0	0	0
8177	68	81.4875	80.1936	2.38033	2.38476	0	0	0	0	0	0	0	0
8177	69	83.6686	82.5555	2.19472	2.22239	0	0	0	0	0	0	0	0
8177	70	85.1691	79.975	2.67808	2.74855	0	0	0	0	0	0	0	0
8177	71	82.3834	84.0052	3.29253	3.24208	0	0	0	0	0	0	0	0
8177	72	83.9301	80.5537	2.10969	2.13843	0	0	0	0	0	0	0	0
8177	73	85.7142	80.7188	2.15281	2.20546	0	0	0	0	0	0	0	0
